"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"75","3.30","3","BR7-03113","2015-8-5 00:00:00",20.07436,22.3,"1","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.179490000000001,2.22564
"76","3.30","3","BR7-03124","2015-8-5 00:00:00",20.54664,22.3,"2","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.29279,1.75336
"77","3.30","3","BR7-03131","2015-8-5 00:00:00",20.54356,22.3,"3","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.289709999999999,1.75644
"78","3.30","3","BR7-03111","2015-8-5 00:00:00",20.39556,22.3,"1","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.14171,1.90444
"79","3.30","3","BR7-03122","2015-8-5 00:00:00",20.44112,22.3,"2","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.187270000000002,1.85888
"80","3.30","3","BR7-03123","2015-8-5 00:00:00",21.3676,22.3,"2","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,1.11375,0.932400000000001
"81","3.30","3","BR7-03114","2015-8-5 00:00:00",20.47724,22.3,"1","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.223389999999998,1.82276
"82","3.30","3","BR7-03121","2015-8-5 00:00:00",20.9118,22.3,"2","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.65795,1.3882
"83","3.30","3","BR7-03133","2015-8-5 00:00:00",20.21188,22.3,"3","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.0419699999999992,2.08812
"84","3.30","3","BR7-03134","2015-8-5 00:00:00",20.30432,22.3,"3","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.0504700000000007,1.99568
"85","3.44","3","BR7-03124","2015-8-19 00:00:00",22.2136,21.8,"2","4","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.55978,-0.413599999999999
"86","3.44","3","BR7-03112","2015-8-19 00:00:00",21.647,21.8,"1","2","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.00682000000000116,0.153000000000002
